customer_id,age,gender,location,product_category,product_price,product_rating,purchase_quantity,transaction_amount,discount_applied,final_amount,purchase_date,loyalty_points,payment_method,membership_status,returning_customer
1260,18,Male,Urban,Clothing,468.71,5,6,2812.26,0.2,2249.81,2020-01-01,641,Debit Card,Non-member,0
1706,50,Male,Suburban,Clothing,264.44,3.3,9,2379.96,0.1,2141.96,2020-01-01,699,Cash,Regular,1
1203,24,Female,Suburban,Electronics,557.33,3.3,3,1671.99,0.2,1337.59,2020-01-01,70,Mobile Payment,VIP,0
4878,45,Other,Rural,Electronics,637.5,3.2,8,5100,0.2,4080,2020-01-01,323,Mobile Payment,Regular,1
2010,24,Male,Urban,Groceries,82.16,2.6,9,739.44,0.1,665.5,2020-01-01,373,Mobile Payment,Non-member,0
4394,67,Male,Rural,Groceries,822.24,3.3,2,1644.48,0.2,1315.58,2020-01-01,36,Mobile Payment,VIP,1
4283,69,Female,Suburban,Toys,891.34,1,4,3565.36,0,3565.36,2020-01-01,162,Cash,Regular,0
3419,35,Female,Rural,Furniture,749.4,2.1,7,5245.8,0.3,3672.06,2020-01-01,935,Credit Card,VIP,0
2264,56,Male,Rural,Toys,16.14,2.1,2,32.28,0.1,29.05,2020-01-01,948,Credit Card,VIP,0
1377,20,Male,Urban,Toys,42.46,3.8,7,297.22,0,297.22,2020-01-01,807,Mobile Payment,Regular,1
4900,24,Other,Suburban,Toys,966.15,4.1,6,5796.9,0.3,4057.83,2020-01-01,955,Debit Card,Regular,1
2538,57,Female,Rural,Groceries,59.13,3.9,7,413.91,0,413.91,2020-01-01,695,Credit Card,Non-member,0
2325,42,Male,Suburban,Clothing,181.56,2.9,5,907.8,0.1,817.02,2020-01-01,86,Credit Card,Non-member,1
3334,53,Male,Suburban,Groceries,720.01,3.4,7,5040.07,0.3,3528.05,2020-01-01,363,Debit Card,Regular,1
1412,51,Other,Suburban,Furniture,893.9,1.3,6,5363.4,0.2,4290.72,2020-01-01,208,Cash,Non-member,0
1748,66,Male,Suburban,Clothing,592.75,1.4,6,3556.5,0.3,2489.55,2020-01-01,257,Mobile Payment,VIP,0
4085,29,Other,Urban,Electronics,765.26,3.2,3,2295.78,0,2295.78,2020-01-01,453,Credit Card,Regular,0
3925,51,Other,Suburban,Groceries,386.7,3.9,7,2706.9,0.1,2436.21,2020-01-01,246,Debit Card,Regular,0
1663,69,Female,Urban,Electronics,899.72,1.7,3,2699.16,0.1,2429.24,2020-01-01,438,Credit Card,VIP,1
